multiplier,workload,strategy,energy_wh,carbon_kg,carbon_g,avg_latency_ms,total_heat_kwh,heat_cv,peak_uhi,total_uhi
0.5,Light,Random,194.59286999999998,0.047833357349999994,47.83335734999999,74.9660678380807,0.24499252575,0.4414807413041298,0.00010524664125,0.0001774186633819429
0.5,Light,Energy-Only,187.8300375,0.03602110425,36.02110425,85.6295295518222,0.22852103812500002,0.07673422106299067,8.439906374999999e-05,0.00015478614702628093
0.5,Light,UHI-Aware,187.8339225,0.03508674705,35.08674705,85.23591014562356,0.22832590537500003,0.14005544982440607,7.363902374999999e-05,0.00014829002151902054
0.5,Light,Multi-Objective,189.811695,0.03977121585,39.77121585,82.55345129992969,0.2334103395,0.07232301714937268,9.381409874999999e-05,0.00016341580546812886
1.0,Standard,Random,377.93835,0.0875116755,87.5116755,86.45586598504637,0.46508886000000005,0.6552912344482418,0.0003073336425,0.00039666477534631734
1.0,Standard,Energy-Only,375.660075,0.0720422085,72.0422085,85.6295295518222,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
1.0,Standard,UHI-Aware,375.667845,0.0701734941,70.1734941,85.23591014562356,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
1.0,Standard,Multi-Objective,379.62339,0.0795424317,79.5424317,82.55345129992969,0.466820679,0.07232301714937268,0.00018762819749999998,0.0003268316109362577
1.5,Complex,Random,596.0525624999999,0.18058135499999997,180.58135499999997,70.68739464301717,0.7682725406249999,0.5945517968329052,0.0005326219799999999,0.0006815225569741745
1.5,Complex,Energy-Only,563.4901125,0.10806331274999999,108.06331275,85.6295295518222,0.6855631143750001,0.07673422106299074,0.00025319719125,0.0004643584410788427
1.5,Complex,UHI-Aware,563.5017675,0.10526024115,105.26024115,85.23591014562356,0.684977716125,0.1400554498244061,0.00022091707124999999,0.0004448700645570616
1.5,Complex,Multi-Objective,569.435085,0.11931364754999998,119.31364754999998,82.55345129992969,0.7002310185,0.07232301714937248,0.00028144229625,0.0004902474164043865
2.0,Image Gen,Random,759.69462,0.1759631286,175.9631286,84.16323168024877,0.9382312320000001,0.43946969576192396,0.000560867085,0.0007664853620199316
2.0,Image Gen,Energy-Only,751.32015,0.144084417,144.084417,85.6295295518222,0.9140841525000001,0.07673422106299067,0.00033759625499999997,0.0006191445881051237
2.0,Image Gen,UHI-Aware,751.33569,0.1403469882,140.3469882,85.23591014562356,0.9133036215000001,0.14005544982440607,0.00029455609499999996,0.0005931600860760822
2.0,Image Gen,Multi-Objective,759.24678,0.1590848634,159.0848634,82.55345129992969,0.933641358,0.07232301714937268,0.00037525639499999997,0.0006536632218725154
3.0,Video Gen,Random,1132.840845,0.2268998091,226.8998091,84.0854004913677,1.3855169857500003,0.03295065054771175,0.0005306044724999999,0.0009520424812268108
3.0,Video Gen,Energy-Only,1126.980225,0.21612662549999997,216.1266255,85.6295295518222,1.3711262287500001,0.07673422106299074,0.0005063943825,0.0009287168821576854
3.0,Video Gen,UHI-Aware,1127.003535,0.2105204823,210.5204823,85.23591014562356,1.36995543225,0.1400554498244061,0.00044183414249999997,0.0008897401291141232
3.0,Video Gen,Multi-Objective,1138.87017,0.23862729509999997,238.62729509999997,82.55345129992969,1.400462037,0.07232301714937248,0.0005628845925,0.000980494832808773
